customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerFeedback
CUST-000000,Female,1,Yes,Yes,1,No,No phone service,DSL,Month-to-month,Yes,Digital wallet,74.00,47.00,Yes,Support was responsive and the package feels fair; likely to cancel without a better offer
CUST-000073,Male,1,Yes,No,8,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,642.50,Yes,The connection is stable and billing is clear; likely to cancel without a better offer
CUST-000074,Female,0,No,No,15,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,327.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000075,Male,0,Yes,Yes,22,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,1041.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000076,Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,2320.00,No,The service works well but the price feels high; no major issues this month
CUST-000077,Male,0,No,No,36,No,No phone service,No,Two year,No,Mailed check,32.25,776.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000078,Female,0,Yes,No,43,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,2026.00,No,The connection is stable and billing is clear; no major issues this month
CUST-000079,Male,0,Yes,No,50,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,4007.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000080,Female,1,No,Yes,57,Yes,Yes,No,Two year,Yes,Electronic check,37.00,1225.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000081,Male,1,Yes,Yes,64,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,3010.50,Yes,The service works well but the price feels high; likely to cancel without a better offer
CUST-000082,Female,0,Yes,No,71,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,5685.00,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000083,Male,0,No,No,6,Yes,No,No,Two year,No,Credit card (automatic),30.75,136.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000084,Female,0,Yes,No,13,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,611.00,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000085,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,One year,No,Digital wallet,116.25,1602.50,No,Support was responsive and the package feels fair; new payment option is convenient
CUST-000086,Female,0,No,Yes,27,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,585.50,No,The service works well but the price feels high; no major issues this month
CUST-000087,Male,0,Yes,No,34,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,1605.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000088,Female,1,Yes,No,41,No,No phone service,Fiber optic,One year,Yes,Electronic check,111.50,3280.00,Yes,The connection is stable and billing is clear; likely to cancel without a better offer
CUST-000089,Male,1,No,No,48,Yes,Yes,No,Two year,No,Mailed check,39.25,1034.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000090,Female,0,Yes,Yes,55,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,2590.00,No,Support was responsive and the package feels fair; no major issues this month
CUST-000091,Male,0,Yes,Yes,62,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,4967.50,No,The service works well but the price feels high; no major issues this month
CUST-000092,Female,0,No,No,69,Yes,Yes,No,Two year,Yes,Electronic check,37.00,1483.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000093,Male,0,Yes,No,4,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,190.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000094,Female,0,Yes,No,11,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,885.00,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000095,Male,0,No,Yes,18,Yes,No,No,Two year,No,Credit card (automatic),30.75,394.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000096,Female,1,Yes,Yes,25,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,1175.00,Yes,The service works well but the price feels high; likely to cancel without a better offer
CUST-000097,Male,1,Yes,No,32,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,2562.50,Yes,Setup was easy and the app is straightforward; likely to cancel without a better offer
CUST-000098,Female,0,No,No,39,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,843.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000099,Male,0,Yes,No,46,No,No phone service,DSL,Month-to-month,Yes,Credit card (automatic),76.25,2169.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000100,Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,4240.00,No,Support was responsive and the package feels fair; no major issues this month
CUST-000101,Male,0,No,Yes,60,Yes,Yes,No,Two year,No,Mailed check,39.25,1292.50,No,The service works well but the price feels high; no major issues this month
CUST-000102,Female,0,Yes,No,67,Yes,No,DSL,Month-to-month,Yes,Digital wallet,72.50,3154.00,No,Setup was easy and the app is straightforward; new payment option is convenient
CUST-000103,Male,0,Yes,No,2,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,167.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000104,Female,1,No,No,9,Yes,Yes,No,Two year,Yes,Electronic check,37.00,193.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000105,Male,1,Yes,Yes,16,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,754.50,Yes,Support was responsive and the package feels fair; likely to cancel without a better offer
CUST-000106,Female,0,Yes,Yes,23,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,1845.00,No,The service works well but the price feels high; no major issues this month
CUST-000107,Male,0,No,No,30,Yes,No,No,Two year,No,Credit card (automatic),30.75,652.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000108,Female,0,Yes,No,37,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,1739.00,No,The connection is stable and billing is clear; no major issues this month
CUST-000109,Male,0,Yes,No,44,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,3522.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000110,Female,0,No,Yes,51,No,No phone service,No,Two year,Yes,Bank transfer (automatic),30.00,1101.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000111,Male,0,Yes,Yes,58,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,2733.50,No,The service works well but the price feels high; no major issues this month
CUST-000112,Female,1,Yes,No,65,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,5200.00,Yes,Setup was easy and the app is straightforward; likely to cancel without a better offer
CUST-000113,Male,1,No,No,72,Yes,Yes,No,Two year,No,Mailed check,39.25,1550.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000114,Female,0,Yes,No,7,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,334.00,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000115,Male,0,Yes,Yes,14,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,1127.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000116,Female,0,No,Yes,21,Yes,Yes,No,Two year,Yes,Electronic check,37.00,451.50,No,The service works well but the price feels high; no major issues this month
CUST-000117,Male,0,Yes,No,28,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,1318.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000118,Female,0,Yes,No,35,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,2805.00,No,The connection is stable and billing is clear; no major issues this month
CUST-000119,Male,0,No,No,42,Yes,No,No,Two year,No,Digital wallet,30.75,910.50,No,I would keep the plan if the monthly fee was lower; new payment option is convenient
CUST-000120,Female,1,Yes,Yes,49,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,2303.00,Yes,Support was responsive and the package feels fair; likely to cancel without a better offer
CUST-000121,Male,1,Yes,Yes,56,No,No phone service,Fiber optic,One year,No,Mailed check,109.25,4482.50,Yes,The service works well but the price feels high; likely to cancel without a better offer
CUST-000122,Female,0,No,No,63,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,1359.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000123,Male,0,Yes,No,70,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,3297.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000124,Female,0,Yes,No,5,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,400.00,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000125,Male,0,No,Yes,12,Yes,Yes,No,Two year,No,Mailed check,39.25,260.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000126,Female,0,Yes,Yes,19,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,898.00,No,The service works well but the price feels high; no major issues this month
CUST-000127,Male,0,Yes,No,26,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,2087.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000128,Female,1,No,No,33,Yes,Yes,No,Two year,Yes,Electronic check,37.00,709.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000129,Male,1,Yes,No,40,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,1882.50,Yes,I would keep the plan if the monthly fee was lower; likely to cancel without a better offer
CUST-000130,Female,0,Yes,Yes,47,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,3765.00,No,Support was responsive and the package feels fair; no major issues this month
CUST-000131,Male,0,No,Yes,54,Yes,No,No,Two year,No,Credit card (automatic),30.75,1168.50,No,The service works well but the price feels high; no major issues this month
CUST-000132,Female,0,Yes,No,61,No,No phone service,DSL,Month-to-month,Yes,Electronic check,74.00,2867.00,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000133,Male,0,Yes,No,68,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,5442.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000134,Female,0,No,No,3,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,69.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000135,Male,0,Yes,Yes,10,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,477.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000136,Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,One year,Yes,Digital wallet,118.50,1360.00,Yes,The service works well but the price feels high; likely to cancel without a better offer
CUST-000137,Male,1,No,No,24,Yes,Yes,No,Two year,No,Mailed check,39.25,518.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000138,Female,0,Yes,No,31,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,1462.00,No,The connection is stable and billing is clear; no major issues this month
CUST-000139,Male,0,Yes,No,38,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,3047.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000140,Female,0,No,Yes,45,Yes,Yes,No,Two year,Yes,Electronic check,37.00,967.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000141,Male,0,Yes,Yes,52,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,83.25,2446.50,No,The service works well but the price feels high; no major issues this month
CUST-000142,Female,0,Yes,No,59,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,4725.00,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000143,Male,0,No,No,66,No,No phone service,No,Two year,No,Credit card (automatic),32.25,1426.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000144,Female,1,Yes,No,1,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,47.00,Yes,I would keep the plan if the monthly fee was lower; likely to cancel without a better offer
CUST-000145,Male,1,Yes,Yes,8,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,642.50,Yes,Support was responsive and the package feels fair; likely to cancel without a better offer
CUST-000146,Female,0,No,Yes,15,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,327.50,No,The service works well but the price feels high; no major issues this month
CUST-000147,Male,0,Yes,No,22,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,1041.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000148,Female,0,Yes,No,29,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,2320.00,No,The connection is stable and billing is clear; no major issues this month
CUST-000149,Male,0,No,No,36,Yes,Yes,No,Two year,No,Mailed check,39.25,776.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000150,Female,0,Yes,Yes,43,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,2026.00,No,Support was responsive and the package feels fair; no major issues this month
CUST-000151,Male,0,Yes,Yes,50,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,4007.50,No,The service works well but the price feels high; no major issues this month
CUST-000152,Female,1,No,No,57,Yes,Yes,No,Two year,Yes,Electronic check,37.00,1225.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000153,Male,1,Yes,No,64,Yes,Yes,DSL,Month-to-month,Yes,Digital wallet,83.25,3010.50,Yes,The connection is stable and billing is clear; likely to cancel without a better offer
CUST-000154,Female,0,Yes,No,71,No,No phone service,Fiber optic,One year,Yes,Bank transfer (automatic),111.50,5685.00,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000155,Male,0,No,Yes,6,Yes,No,No,Two year,No,Credit card (automatic),30.75,136.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000156,Female,0,Yes,Yes,13,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,611.00,No,The service works well but the price feels high; no major issues this month
CUST-000157,Male,0,Yes,No,20,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,1602.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000158,Female,0,No,No,27,Yes,No,No,Two year,Yes,Bank transfer (automatic),28.50,585.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000159,Male,0,Yes,No,34,Yes,No,DSL,Month-to-month,Yes,Credit card (automatic),74.75,1605.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000160,Female,1,Yes,Yes,41,Yes,Yes,Fiber optic,One year,Yes,Electronic check,118.50,3280.00,Yes,Support was responsive and the package feels fair; likely to cancel without a better offer
CUST-000161,Male,1,No,Yes,48,Yes,Yes,No,Two year,No,Mailed check,39.25,1034.50,No,The service works well but the price feels high; no major issues this month
CUST-000162,Female,0,Yes,No,55,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),72.50,2590.00,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000163,Male,0,Yes,No,62,Yes,No,Fiber optic,One year,No,Credit card (automatic),107.75,4967.50,No,The connection is stable and billing is clear; no major issues this month
CUST-000164,Female,0,No,No,69,Yes,Yes,No,Two year,Yes,Electronic check,37.00,1483.50,No,I would keep the plan if the monthly fee was lower; no major issues this month
CUST-000165,Male,0,Yes,Yes,4,No,No phone service,DSL,Month-to-month,Yes,Mailed check,76.25,190.50,No,Support was responsive and the package feels fair; no major issues this month
CUST-000166,Female,0,Yes,Yes,11,Yes,No,Fiber optic,One year,Yes,Bank transfer (automatic),110.00,885.00,No,The service works well but the price feels high; no major issues this month
CUST-000167,Male,0,No,No,18,Yes,No,No,Two year,No,Credit card (automatic),30.75,394.50,No,Setup was easy and the app is straightforward; no major issues this month
CUST-000168,Female,1,Yes,No,25,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,81.00,1175.00,Yes,The connection is stable and billing is clear; likely to cancel without a better offer
CUST-000169,Male,1,Yes,No,32,Yes,Yes,Fiber optic,One year,No,Mailed check,116.25,2562.50,Yes,I would keep the plan if the monthly fee was lower; likely to cancel without a better offer
