customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineBackup,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-000080,Female,1,No,Yes,57,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,1225.50,No
CUST-000081,Male,1,Yes,Yes,64,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,3010.50,Yes
CUST-000082,Female,0,Yes,No,71,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,5685.00,No
CUST-000083,Male,0,No,No,6,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,136.50,No
CUST-000084,Female,0,Yes,No,13,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,611.00,No
CUST-000085,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,1602.50,No
CUST-000086,Female,0,No,Yes,27,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,585.50,No
CUST-000087,Male,0,Yes,No,34,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,1605.50,No
CUST-000088,Female,1,Yes,No,41,No,No phone service,Fiber optic,Yes,One year,Yes,Electronic check,86.50,3280.00,No
CUST-000089,Male,1,No,No,48,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,1034.50,No
CUST-000090,Female,0,Yes,Yes,55,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,2590.00,No
CUST-000091,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,4967.50,No
CUST-000092,Female,0,No,No,69,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,1483.50,No
CUST-000093,Male,0,Yes,No,4,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,190.50,No
CUST-000094,Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,885.00,No
CUST-000095,Male,0,No,Yes,18,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,394.50,No
CUST-000096,Female,1,Yes,Yes,25,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,1175.00,Yes
CUST-000097,Male,1,Yes,No,32,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,2562.50,No
CUST-000098,Female,0,No,No,39,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,843.50,No
CUST-000099,Male,0,Yes,No,46,No,No phone service,DSL,No,Month-to-month,Yes,Credit card (automatic),58.25,2169.50,No
CUST-000100,Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,4240.00,No
CUST-000101,Male,0,No,Yes,60,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,1292.50,No
CUST-000102,Female,0,Yes,No,67,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,3154.00,No
CUST-000103,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,167.50,No
CUST-000104,Female,1,No,No,9,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,193.50,No
CUST-000105,Male,1,Yes,Yes,16,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,754.50,Yes
CUST-000106,Female,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,1845.00,No
CUST-000107,Male,0,No,No,30,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,652.50,No
CUST-000108,Female,0,Yes,No,37,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,1739.00,No
CUST-000109,Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,3522.50,No
CUST-000110,Female,0,No,Yes,51,No,No phone service,No,No internet service,Two year,Yes,Bank transfer (automatic),22.00,1101.50,No
CUST-000111,Male,0,Yes,Yes,58,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,2733.50,No
CUST-000112,Female,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,5200.00,No
CUST-000113,Male,1,No,No,72,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,1550.50,No
CUST-000114,Female,0,Yes,No,7,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,334.00,No
CUST-000115,Male,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,1127.50,No
CUST-000116,Female,0,No,Yes,21,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,451.50,No
CUST-000117,Male,0,Yes,No,28,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,1318.50,No
CUST-000118,Female,0,Yes,No,35,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,2805.00,No
CUST-000119,Male,0,No,No,42,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,910.50,No
CUST-000120,Female,1,Yes,Yes,49,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,2303.00,Yes
CUST-000121,Male,1,Yes,Yes,56,No,No phone service,Fiber optic,Yes,One year,No,Mailed check,84.25,4482.50,No
CUST-000122,Female,0,No,No,63,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,1359.50,No
CUST-000123,Male,0,Yes,No,70,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,3297.50,No
CUST-000124,Female,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,400.00,No
CUST-000125,Male,0,No,Yes,12,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,260.50,No
CUST-000126,Female,0,Yes,Yes,19,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,898.00,No
CUST-000127,Male,0,Yes,No,26,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,2087.50,No
CUST-000128,Female,1,No,No,33,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,709.50,No
CUST-000129,Male,1,Yes,No,40,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,1882.50,Yes
CUST-000130,Female,0,Yes,Yes,47,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,3765.00,No
CUST-000131,Male,0,No,Yes,54,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,1168.50,No
CUST-000132,Female,0,Yes,No,61,No,No phone service,DSL,No,Month-to-month,Yes,Electronic check,56.00,2867.00,No
CUST-000133,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,5442.50,No
CUST-000134,Female,0,No,No,3,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,69.50,No
CUST-000135,Male,0,Yes,Yes,10,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,477.50,No
CUST-000136,Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,1360.00,No
CUST-000137,Male,1,No,No,24,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,518.50,No
CUST-000138,Female,0,Yes,No,31,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,1462.00,No
CUST-000139,Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,3047.50,No
CUST-000140,Female,0,No,Yes,45,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,967.50,No
CUST-000141,Male,0,Yes,Yes,52,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,2446.50,No
CUST-000142,Female,0,Yes,No,59,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,4725.00,No
CUST-000143,Male,0,No,No,66,No,No phone service,No,No internet service,Two year,No,Credit card (automatic),24.25,1426.50,No
CUST-000144,Female,1,Yes,No,1,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,47.00,Yes
CUST-000145,Male,1,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,642.50,No
CUST-000146,Female,0,No,Yes,15,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,327.50,No
CUST-000147,Male,0,Yes,No,22,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,1041.50,No
CUST-000148,Female,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,2320.00,No
CUST-000149,Male,0,No,No,36,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,776.50,No
CUST-000150,Female,0,Yes,Yes,43,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,2026.00,No
CUST-000151,Male,0,Yes,Yes,50,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,4007.50,No
CUST-000152,Female,1,No,No,57,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,1225.50,No
CUST-000153,Male,1,Yes,No,64,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,3010.50,Yes
CUST-000154,Female,0,Yes,No,71,No,No phone service,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),86.50,5685.00,No
CUST-000155,Male,0,No,Yes,6,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,136.50,No
CUST-000156,Female,0,Yes,Yes,13,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,611.00,No
CUST-000157,Male,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,1602.50,No
CUST-000158,Female,0,No,No,27,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,585.50,No
CUST-000159,Male,0,Yes,No,34,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,1605.50,No
CUST-000160,Female,1,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,3280.00,No
CUST-000161,Male,1,No,Yes,48,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,1034.50,No
CUST-000162,Female,0,Yes,No,55,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,2590.00,No
CUST-000163,Male,0,Yes,No,62,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,4967.50,No
CUST-000164,Female,0,No,No,69,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,1483.50,No
CUST-000165,Male,0,Yes,Yes,4,No,No phone service,DSL,No,Month-to-month,Yes,Mailed check,58.25,190.50,No
CUST-000166,Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,885.00,No
CUST-000167,Male,0,No,No,18,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,394.50,No
CUST-000168,Female,1,Yes,No,25,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,1175.00,Yes
CUST-000169,Male,1,Yes,No,32,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,2562.50,No
CUST-000170,Female,0,No,Yes,39,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,843.50,No
CUST-000171,Male,0,Yes,Yes,46,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,2169.50,No
CUST-000172,Female,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,4240.00,No
CUST-000173,Male,0,No,No,60,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,1292.50,No
CUST-000174,Female,0,Yes,No,67,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,3154.00,No
CUST-000175,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,167.50,No
CUST-000176,Female,1,No,Yes,9,No,No phone service,No,No internet service,Two year,Yes,Electronic check,22.00,193.50,No
CUST-000177,Male,1,Yes,No,16,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,754.50,Yes
CUST-000178,Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,1845.00,No
CUST-000179,Male,0,No,No,30,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,652.50,No
CUST-000180,Female,0,Yes,Yes,37,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,1739.00,No
CUST-000181,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,3522.50,No
CUST-000182,Female,0,No,No,51,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,1101.50,No
CUST-000183,Male,0,Yes,No,58,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,2733.50,No
CUST-000184,Female,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,5200.00,No
CUST-000185,Male,1,No,Yes,72,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,1550.50,No
CUST-000186,Female,0,Yes,Yes,7,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,334.00,No
CUST-000187,Male,0,Yes,No,14,No,No phone service,Fiber optic,Yes,One year,No,Credit card (automatic),84.25,1127.50,No
CUST-000188,Female,0,No,No,21,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,451.50,No
CUST-000189,Male,0,Yes,No,28,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,1318.50,No
CUST-000190,Female,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,2805.00,No
CUST-000191,Male,0,No,Yes,42,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,910.50,No
CUST-000192,Female,1,Yes,No,49,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,2303.00,Yes
CUST-000193,Male,1,Yes,No,56,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,4482.50,No
CUST-000194,Female,0,No,No,63,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,1359.50,No
CUST-000195,Male,0,Yes,Yes,70,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,3297.50,No
CUST-000196,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,400.00,No
CUST-000197,Male,0,No,No,12,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,260.50,No
CUST-000198,Female,0,Yes,No,19,No,No phone service,DSL,No,Month-to-month,Yes,Bank transfer (automatic),56.00,898.00,No
CUST-000199,Male,0,Yes,No,26,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,2087.50,No
CUST-000200,Female,1,No,Yes,33,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,709.50,No
CUST-000201,Male,1,Yes,Yes,40,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,1882.50,Yes
CUST-000202,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,3765.00,No
CUST-000203,Male,0,No,No,54,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,1168.50,No
CUST-000204,Female,0,Yes,No,61,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,2867.00,No
CUST-000205,Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,5442.50,No
CUST-000206,Female,0,No,Yes,3,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,69.50,No
CUST-000207,Male,0,Yes,No,10,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,477.50,No
CUST-000208,Female,1,Yes,No,17,Yes,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.50,1360.00,No
CUST-000209,Male,1,No,No,24,No,No phone service,No,No internet service,Two year,No,Mailed check,24.25,518.50,No
CUST-000210,Female,0,Yes,Yes,31,Yes,No,DSL,No,Month-to-month,Yes,Bank transfer (automatic),54.50,1462.00,No
CUST-000211,Male,0,Yes,Yes,38,Yes,No,Fiber optic,Yes,One year,No,Credit card (automatic),82.75,3047.50,No
CUST-000212,Female,0,No,No,45,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,29.00,967.50,No
CUST-000213,Male,0,Yes,No,52,Yes,Yes,DSL,No,Month-to-month,Yes,Mailed check,65.25,2446.50,No
CUST-000214,Female,0,Yes,No,59,Yes,No,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),85.00,4725.00,No
CUST-000215,Male,0,No,Yes,66,Yes,No,No,No internet service,Two year,No,Credit card (automatic),22.75,1426.50,No
CUST-000216,Female,1,Yes,Yes,1,Yes,Yes,DSL,No,Month-to-month,Yes,Electronic check,63.00,47.00,Yes
CUST-000217,Male,1,Yes,No,8,Yes,Yes,Fiber optic,Yes,One year,No,Mailed check,91.25,642.50,No
CUST-000218,Female,0,No,No,15,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.50,327.50,No
CUST-000219,Male,0,Yes,No,22,Yes,No,DSL,No,Month-to-month,Yes,Credit card (automatic),56.75,1041.50,No
CUST-000220,Female,0,Yes,Yes,29,No,No phone service,Fiber optic,Yes,One year,Yes,Electronic check,86.50,2320.00,No
CUST-000221,Male,0,No,Yes,36,Yes,Yes,No,No internet service,Two year,No,Mailed check,31.25,776.50,No
